Serial Number: 1923-0121
Battery Status: 25.1 %
Description: 39-106
Product Code: EI-HS-D-32-L
Index,Elapsed_Time,Date,Time,Temp,Humidity,
1,00:00:00,2024/3/14,U,10:07:00,27.2,64.5,
2,00:00:03,2024/3/14,U,10:07:03,27.2,65.1,
3,00:00:06,2024/3/14,U,10:07:06,27.2,62.0,
4,00:00:09,2024/3/14,U,10:07:09,27.2,62.3,
5,00:00:12,2024/3/14,U,10:07:12,27.3,66.2,
6,00:00:15,2024/3/14,U,10:07:15,27.3,67.5,
7,00:00:18,2024/3/14,U,10:07:18,27.3,68.4,
8,00:00:21,2024/3/14,U,10:07:21,27.3,65.2,
9,00:00:24,2024/3/14,U,10:07:24,27.4,60.7,
10,00:00:27,2024/3/14,U,10:07:27,27.4,58.7,
11,00:00:30,2024/3/14,U,10:07:30,27.4,59.3,
12,00:00:33,2024/3/14,U,10:07:33,27.4,58.6,
13,00:00:36,2024/3/14,U,10:07:36,27.4,59.3,
14,00:00:39,2024/3/14,U,10:07:39,27.4,58.3,
15,00:00:42,2024/3/14,U,10:07:42,27.4,57.7,
16,00:00:45,2024/3/14,U,10:07:45,27.5,57.9,
17,00:00:48,2024/3/14,U,10:07:48,27.5,57.8,
18,00:00:51,2024/3/14,U,10:07:51,27.5,56.2,
19,00:00:54,2024/3/14,U,10:07:54,27.5,53.5,
20,00:00:57,2024/3/14,U,10:07:57,27.4,51.6,
21,00:01:00,2024/3/14,U,10:08:00,27.4,50.7,
22,00:01:03,2024/3/14,U,10:08:03,27.4,50.1,
23,00:01:06,2024/3/14,U,10:08:06,27.4,49.5,
24,00:01:09,2024/3/14,U,10:08:09,27.4,49.2,
25,00:01:12,2024/3/14,U,10:08:12,27.4,48.7,
26,00:01:15,2024/3/14,U,10:08:15,27.4,48.6,
27,00:01:18,2024/3/14,U,10:08:18,27.4,48.3,
28,00:01:21,2024/3/14,U,10:08:21,27.4,48.2,
29,00:01:24,2024/3/14,U,10:08:24,27.4,47.8,
30,00:01:27,2024/3/14,U,10:08:27,27.4,47.7,
31,00:01:30,2024/3/14,U,10:08:30,27.4,47.5,
32,00:01:33,2024/3/14,U,10:08:33,27.4,47.5,
33,00:01:36,2024/3/14,U,10:08:36,27.4,47.5,
34,00:01:39,2024/3/14,U,10:08:39,27.4,47.5,
35,00:01:42,2024/3/14,U,10:08:42,27.4,47.3,
36,00:01:45,2024/3/14,U,10:08:45,27.4,47.3,
37,00:01:48,2024/3/14,U,10:08:48,27.4,47.3,
38,00:01:51,2024/3/14,U,10:08:51,27.4,47.2,
39,00:01:54,2024/3/14,U,10:08:54,27.4,47.1,
40,00:01:57,2024/3/14,U,10:08:57,27.3,46.9,
41,00:02:00,2024/3/14,U,10:09:00,27.3,46.8,
42,00:02:03,2024/3/14,U,10:09:03,27.3,46.8,
43,00:02:06,2024/3/14,U,10:09:06,27.3,46.8,
44,00:02:09,2024/3/14,U,10:09:09,27.3,46.7,
45,00:02:12,2024/3/14,U,10:09:12,27.3,46.8,
46,00:02:15,2024/3/14,U,10:09:15,27.3,46.8,
47,00:02:18,2024/3/14,U,10:09:18,27.3,46.7,
48,00:02:21,2024/3/14,U,10:09:21,27.3,46.7,
49,00:02:24,2024/3/14,U,10:09:24,27.3,46.5,
50,00:02:27,2024/3/14,U,10:09:27,27.3,46.5,
